Date,Cases_Mean,Cases_LB,Cases_UB,Deaths_Mean,Deaths_LB,Deaths_UB,hospitalized_best,hospitalized_mean,hospitalized_worst,ICU_best,ICU_mean,ICU_worst,total_beds,regular_bed_supply_best,regular_bed_supply_mean,regular_bed_supply_worst,total_ICU_beds,ICU_bed_supply_best,ICU_bed_supply_mean,ICU_bed_supply_worst,patient_vent_lb,patient_vent_mean,patient_vent_ub,total_vents,open_vents_lb,open_vents_mean,open_vents_ub,med_tech,med_tech_active,med_tech_supply,med_tech_demand,nurse,nurse_active,nurse_supply,nurse_demand,phys,phys_active,phys_supply,phys_demand,resp,resp_active,resp_supply,resp_demand
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,9024.4,9024.4,9024.4,9024.4,1085,1085,1085,1085,0,0,0,2325,2325,2325,2325,0,,,,0,,,,10703,3820.971,,0,0,,,
